date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-03-10,CONCACAF Championship,GUATEMALA,MEXICO,1,0,1058.5154271461215,1356.1828194042937,1090.5430328084622,1334.8310822960666
1967-03-10,CONCACAF Championship,HAITI,NICARAGUA,2,1,1027.2230214053839,709.7476208144408,1032.4595366573642,706.2566106464539
1967-03-12,Friendly,LIBYA,IRAQ,0,1,893.1960858830085,933.1117374079655,885.7569087624644,944.2705030887818
1967-03-12,African Cup of Nations qualification,KENYA,UGANDA,3,3,961.880221974016,904.8049341356485,959.9264549851107,907.7355846190064
1967-03-12,CONCACAF Championship,HONDURAS,GUATEMALA,0,0,944.5816878477431,1090.5430328084622,951.7281114992353,1085.778750374134
1967-03-12,CONCACAF Championship,MEXICO,TRINIDAD AND TOBAGO,4,0,1334.8310822960666,1022.5906139190315,1340.97273040986,1018.4961818431692
1967-03-12,African Cup of Nations qualification,ALGERIA,MALI,1,0,904.1391857625887,892.7608245387576,922.420440343526,880.5733214847993
1967-03-12,African Cup of Nations qualification,NIGERIA,IVORY COAST,0,0,891.3675110481646,980.2676997147191,895.8753148260803,977.2624971961087
1967-03-14,CONCACAF Championship,TRINIDAD AND TOBAGO,GUATEMALA,0,2,1018.4961818431692,1085.778750374134,1007.8209424754823,1101.7916094256643
1967-03-14,CONCACAF Championship,HAITI,MEXICO,0,1,1032.4595366573642,1340.97273040986,1028.8104606402533,1346.4463444355265
1967-03-17,CONCACAF Championship,HONDURAS,HAITI,2,0,951.7281114992353,1028.8104606402533,975.8502721933096,1012.729020177537
1967-03-17,CONCACAF Championship,NICARAGUA,TRINIDAD AND TOBAGO,1,3,706.2566106464539,1007.8209424754823,702.3011283275779,1013.7541659537962
1967-03-18,African Cup of Nations qualification,DR CONGO,SUDAN,3,2,931.9496613748239,973.3073101064235,953.0888919510745,959.2144897222564
1967-03-19,African Cup of Nations qualification,SENEGAL,GUINEA,4,1,916.8718610393403,895.9740242655892,936.3282800341103,883.0030782690758
1967-03-19,Friendly,CONGO,GHANA,3,1,908.625309324074,1125.143848715434,929.1294699101509,1111.474408324716
1967-03-19,CONCACAF Championship,HONDURAS,MEXICO,0,1,975.8502721933096,1346.4463444355265,973.1815924451203,1350.4493640578105
1967-03-19,CONCACAF Championship,GUATEMALA,NICARAGUA,2,0,1101.7916094256643,702.3011283275779,1105.4012199462418,699.8947213138596
